Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,12,0,0,0,0,602,241,0,0,0,0,18067,0,0,0,482,0,0,0,0,0,0,440,4215,0,121,0,108,217,0,0,0,0,0,0,60,0,0,301,0,12,0,0,100,0,0,0,0,301,0,0,603,0,0,60,0,494,0,0,0,0,12,157,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12
20,0,53,0,0,24,0,14,0,2,11,0,510,93,65,0,0,0,18067,0,0,1114,363,0,86,0,0,0,3554,227,4215,0,110,10,108,217,0,0,0,0,0,0,17,15,0,273,7,5,0,0,100,0,0,0,0,301,0,0,578,25,0,35,0,193,0,301,0,0,12,156,49,0,0,0,83,0,0,0,0,33,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28,28,28
40,0,48,0,1,16,1,12,2,0,17,0,517,96,51,0,0,1,18067,0,0,1273,363,0,92,0,0,0,3821,242,4215,0,107,12,106,217,0,0,0,2,0,0,21,12,0,274,4,8,0,0,100,0,0,0,0,301,0,0,573,30,0,30,0,210,0,284,0,0,12,157,49,2,0,0,92,0,0,1,0,27,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28
60,0,37,3,2,12,3,8,0,0,19,1,529,78,68,0,0,1,18067,0,0,1311,347,0,98,0,0,0,3745,265,4215,0,107,14,107,217,0,0,0,1,0,0,13,13,0,267,4,8,0,0,100,0,0,0,0,301,0,0,570,33,0,27,0,200,0,294,0,0,12,157,49,0,0,0,93,0,0,1,0,37,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23
80,0,52,7,1,25,1,7,2,0,24,0,495,77,72,0,0,1,18067,0,0,1314,356,0,98,0,0,0,3837,230,4215,0,104,15,108,217,0,0,0,0,0,0,12,17,0,270,1,11,0,0,100,0,0,0,0,301,0,0,573,30,0,30,0,170,0,324,0,0,12,157,49,2,0,0,91,0,0,0,0,28,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,43
100,0,54,3,3,14,2,13,1,0,22,1,501,85,68,0,0,1,18067,0,0,1217,368,0,85,0,0,0,3847,253,4215,0,102,19,107,217,0,0,0,1,0,0,15,11,0,268,3,9,0,0,100,0,0,0,0,301,0,0,568,35,0,25,0,201,0,293,0,0,12,157,49,0,0,1,87,0,0,0,0,29,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35
120,2,49,3,2,15,1,12,1,0,22,0,509,81,67,0,0,0,18067,0,0,1284,369,0,90,0,0,0,3784,210,4215,0,107,13,105,214,0,3,1,2,1,0,22,6,1,267,4,8,0,0,100,0,0,0,0,301,0,0,573,30,0,30,0,199,0,295,0,0,12,157,49,0,0,0,93,0,0,0,0,23,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30
140,16,53,5,1,15,6,20,3,0,18,2,491,78,65,0,0,0,18067,0,0,1332,372,0,88,0,0,0,3893,209,4215,0,114,5,107,203,0,14,1,0,0,0,12,8,0,262,6,6,0,0,100,0,0,0,0,301,0,0,571,32,0,28,0,208,0,286,0,0,12,156,49,1,0,1,98,0,0,0,0,22,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,48,48
160,16,52,4,3,21,5,8,1,0,20,0,500,76,78,0,0,1,18067,0,0,1459,359,0,81,0,0,0,3779,235,4215,0,105,16,107,200,0,17,0,1,0,0,9,14,0,264,5,7,0,0,100,0,0,0,0,301,0,0,574,29,0,31,0,217,0,277,0,0,12,157,49,0,0,0,86,0,0,0,0,42,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34
180,16,49,3,2,21,0,9,0,0,15,0,515,80,72,0,0,0,18067,0,0,1342,347,0,104,0,0,0,3796,246,4215,0,108,12,106,202,0,14,0,1,1,0,19,9,0,268,4,8,0,0,100,0,0,0,0,301,0,0,564,39,0,21,0,193,0,301,0,0,12,157,49,0,0,0,89,0,0,0,0,31,0,0,0,0,1,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42
