!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E6'  TableTitle=''  Document='D1 LTP time window'								
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E6T1210	12.1	559.5252	1	1258.6438	1	3073.9168	1	35469.8617	1
E6T1211	12.11	558.7863	1	1260.2866	1	3074.1296	1	35471.2835	1
E6T1212	12.12	558.0451	1	1261.9279	1	3074.3423	1	35472.7095	1
E6T1213	12.13	557.3015	1	1263.5676	1	3074.5548	1	35474.1396	1
E6T1214	12.14	556.5557	1	1265.2057	1	3074.7673	1	35475.5738	1
E6T1215	12.15	555.8076	1	1266.8422	1	3074.9796	1	35477.012	1
E6T1216	12.16	555.0573	1	1268.4771	1	3075.1918	1	35478.4542	1
E6T1217	12.17	554.3048	1	1270.1103	1	3075.4039	1	35479.9003	1
E6T1218	12.18	553.5502	1	1271.742	1	3075.6158	1	35481.3503	1
E6T1219	12.19	552.7934	1	1273.3721	1	3075.8276	1	35482.8043	1
E6T1220	12.2	552.0345	1	1275.0005	1	3076.0393	1	35484.2621	1
E6T1221	12.21	551.2735	1	1276.6273	1	3076.2509	1	35485.7236	1
E6T1222	12.22	550.5105	1	1278.2524	1	3076.4623	1	35487.189	1
E6T1223	12.23	549.7455	1	1279.876	1	3076.6736	1	35488.6581	1
E6T1224	12.24	548.9786	1	1281.4979	1	3076.8847	1	35490.1309	1
E6T1225	12.25	548.2096	1	1283.1181	1	3077.0957	1	35491.6073	1
E6T1226	12.26	547.4387	1	1284.7367	1	3077.3066	1	35493.0874	1
E6T1227	12.27	546.666	1	1286.3536	1	3077.5173	1	35494.5711	1
E6T1228	12.28	545.8913	1	1287.9689	1	3077.7279	1	35496.0583	1
E6T1229	12.29	545.1148	1	1289.5825	1	3077.9383	1	35497.5491	1
E6T1230	12.3	544.3366	1	1291.1945	1	3078.1486	1	35499.0434	1
E6T1231	12.31	543.5565	1	1292.8048	1	3078.3587	1	35500.5411	1
E6T1232	12.32	542.7746	1	1294.4134	1	3078.5687	1	35502.0423	1
E6T1233	12.33	541.9911	1	1296.0203	1	3078.7785	1	35503.5469	1
E6T1234	12.34	541.2058	1	1297.6255	1	3078.9882	1	35505.0549	1
E6T1235	12.35	540.4189	1	1299.2291	1	3079.1977	1	35506.5662	1
E6T1236	12.36	539.6303	1	1300.831	1	3079.4071	1	35508.0808	1
E6T1237	12.37	538.8401	1	1302.4312	1	3079.6163	1	35509.5987	1
E6T1238	12.38	538.0483	1	1304.0297	1	3079.8253	1	35511.1198	1
E6T1239	12.39	537.255	1	1305.6265	1	3080.0342	1	35512.6442	1
E6T1240	12.4	536.4601	1	1307.2216	1	3080.2429	1	35514.1717	1
E6T1241	12.41	535.6637	1	1308.815	1	3080.4514	1	35515.7024	1
E6T1242	12.42	534.8658	1	1310.4067	1	3080.6598	1	35517.2363	1
