!!SBtab	Document='D1 LTP time window' TableName='Compound' TableType='Compound' TableTitle='D1 LTP time window Compounds'								
!ID	!Name	!Unit	!InitialValue	!IsConstant	!Assignement	!Interpolation	!Type	!Location	!IsInput
S64	PDE10r	nanomolarity	700	false	false	false	kinetic	Spine	false
S65	PDE10r_cAMP	nanomolarity	0	false	false	false	kinetic	Spine	false
S66	PDE10c	nanomolarity	0	false	false	false	kinetic	Spine	false
S67	PDE10c_cAMP	nanomolarity	0	false	false	false	kinetic	Spine	false
S68	PKA	nanomolarity	1200	false	false	false	kinetic	Spine	false
S69	PKAc	nanomolarity	0	false	false	false	kinetic	Spine	false
S70	PKAc_B56PP2A	nanomolarity	0	false	false	false	kinetic	Spine	false
S71	PKAc_D32	nanomolarity	0	false	false	false	kinetic	Spine	false
S72	PKAc_ARPP21	nanomolarity	0	false	false	false	kinetic	Spine	false
S73	PKA_Ca2MP	nanomolarity	0	false	false	false	kinetic	Spine	false
S74	PKA_Ca4MP	nanomolarity	0	false	false	false	kinetic	Spine	false
S75	PKAc_D32p75	nanomolarity	0	false	false	false	kinetic	Spine	false
S76	PKAreg	nanomolarity	0	false	false	false	kinetic	Spine	false
S77	PP1	nanomolarity	3000	false	false	false	kinetic	Spine	false
S78	PP1_pCaMKII_psd	nanomolarity	0	false	false	false	kinetic	Spine	false
S79	PP1_pSubstrate	nanomolarity	0	false	false	false	kinetic	Spine	false
S80	PP1_D32p34	nanomolarity	0	false	false	false	kinetic	Spine	false
S81	CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd	nanomolarity	0	false	false	false	kinetic	Spine	false
S82	pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd	nanomolarity	0	false	false	false	kinetic	Spine	false
S83	CaMKII_CaM_Ca4_CaMKII_CaM_Ca4	nanomolarity	0	false	false	false	kinetic	Spine	false
S84	pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4	nanomolarity	0	false	false	false	kinetic	Spine	false
S85	PP2B	nanomolarity	4000	false	false	false	kinetic	Spine	false
S86	PP2Bc	nanomolarity	0	false	false	false	kinetic	Spine	false
S87	PP2Bc_D32p34	nanomolarity	0	false	false	false	kinetic	Spine	false
