Time,Obs_AC5,Obs_AC5_ATP,Obs_AC5_Ca,Obs_AC5_Ca_ATP,Obs_AC5_Ca_GaolfGTP,Obs_AC5_Ca_GaolfGTP_ATP,Obs_AC5_GaolfGTP,Obs_AC5_GaolfGTP_ATP,Obs_B56PP2A,Obs_B56PP2A_D32p75,Obs_B56PP2A_pARPP21,Obs_B56PP2Ap,Obs_B56PP2Ap_D32p75,Obs_B56PP2Ap_pARPP21,Obs_B72PP2A,Obs_B72PP2A_D32p34,Obs_B72PP2A_D32p75,Obs_B72PP2A_pARPP21,Obs_B72PP2A_Ca_D32p34,Obs_B72PP2A_Ca_D32p75,Obs_B72PP2A_Ca,Obs_B72PP2A_Ca_pARPP21,Obs_Ca,Obs_CaM,Obs_CaM_Ca2,Obs_CaM_Ca4,Obs_CaM_Ca4_pARPP21,Obs_CaMKII,Obs_CaMKII_CaM_Ca4,Obs_CaMKII_CaM,Obs_CaMKII_CaM_Ca2,Obs_CaMKII_CaM_Ca2_psd,Obs_CaMKII_CaM_psd,Obs_CaMKII_CaM_Ca4_psd,Obs_CaMKII_psd,Obs_cAMP,Obs_Substrate,Obs_CDK5,Obs_CDK5_D32,Obs_D1R,Obs_D1R_DA,Obs_D1R_Golf_DA,Obs_D1R_Golf,Obs_D32p34,Obs_D32p75,Obs_DA,Obs_D32,Obs_GaolfGDP,Obs_GaolfGTP,Obs_Gbgolf,Obs_Golf,Obs_pCaMKII,Obs_pCaMKII_CaM_Ca4,Obs_pCaMKII_CaM,Obs_pCaMKII_CaM_Ca2,Obs_pCaMKII_CaM_Ca2_psd,Obs_pCaMKII_CaM_psd,Obs_pCaMKII_CaM_Ca4_psd,Obs_pCaMKII_psd,Obs_pSubstrate,Obs_PDE4,Obs_PDE4_cAMP,Obs_PDE10r,Obs_PDE10r_cAMP,Obs_PDE10c,Obs_PDE10c_cAMP,Obs_PKA,Obs_PKAc,Obs_PKAc_B56PP2A,Obs_PKAc_D32,Obs_PKAc_ARPP21,Obs_PKA_Ca2MP,Obs_PKA_Ca4MP,Obs_PKAc_D32p75,Obs_PKAreg,Obs_PP1,Obs_PP1_pCaMKII_psd,Obs_PP1_pSubstrate,Obs_PP1_D32p34,Obs_CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd,Obs_pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd,Obs_CaMKII_CaM_Ca4_CaMKII_CaM_Ca4,Obs_pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4,Obs_PP2B,Obs_PP2Bc,Obs_PP2Bc_D32p34,Obs_PP2B_CaM,Obs_PP2B_CaM_Ca2,Obs_pARPP21,Obs_ARPP21,Obs_pCaMKII_psd_Substrate,Obs_pCaMKII_CaM_psd_Substrate,Obs_pCaMKII_CaM_Ca2_psd_Substrate,Obs_pCaMKII_CaM_Ca4_psd_Substrate,Obs_CaMKII_CaM_psd_Substrate,Obs_CaMKII_CaM_Ca2_psd_Substrate,Obs_CaMKII_CaM_Ca4_psd_Substrate
0.2,1,38,0,0,0,0,0,4,116,4,0,0,0,0,100,0,11,0,0,2,7,0,4,332,0,0,0,1050,1,140,3,0,2,0,9,7,180,68,41,90,0,1,29,0,48,1,2905,0,0,4,86,0,0,0,0,0,0,0,0,0,103,17,28,14,0,0,71,0,0,0,0,1,0,0,0,181,0,0,0,0,0,0,0,177,0,0,30,34,0,1205,0,0,0,0,0,0,0
0.22,0,39,0,0,0,0,0,4,115,5,0,0,0,0,107,0,6,0,0,2,5,0,4,333,0,0,0,1054,1,136,3,0,0,0,11,3,180,73,36,87,0,0,33,0,54,1,2908,0,0,4,83,0,0,0,0,0,0,0,0,0,100,20,26,16,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,172,0,0,34,35,0,1205,0,0,0,0,0,0,0
0.24,0,39,0,0,0,0,0,4,111,9,0,0,0,0,107,0,6,0,0,1,6,0,4,312,0,0,0,1045,1,145,3,0,2,0,9,5,180,73,36,92,1,0,27,0,56,1,2903,0,0,4,89,0,0,0,0,0,0,0,0,0,95,25,26,16,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,162,0,0,41,38,0,1205,0,0,0,0,0,0,0
0.26,0,39,0,0,0,0,0,4,111,9,0,0,0,0,104,0,8,0,0,2,6,0,4,307,0,0,0,1029,0,160,2,0,4,0,10,2,180,78,31,90,1,0,29,0,63,1,2898,0,0,4,87,0,0,0,0,0,0,0,0,0,90,30,22,20,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,172,5,0,25,39,0,1205,0,0,0,0,0,0,0
0.28,0,39,0,0,0,0,0,4,113,7,0,0,0,0,100,0,8,0,0,2,10,0,4,344,1,0,0,1076,0,113,0,0,4,0,12,2,180,73,36,98,0,0,22,0,76,1,2882,0,0,4,94,0,0,0,0,0,0,0,0,0,89,31,23,19,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,161,3,0,33,44,0,1205,0,0,0,0,0,0,0
0.3,2,37,0,0,0,0,0,4,111,9,0,0,0,0,96,0,12,0,0,4,8,0,4,310,0,0,0,1045,0,139,4,2,2,0,13,7,180,72,37,92,0,0,28,0,73,1,2876,0,0,4,88,0,0,0,0,0,0,0,0,0,87,33,24,18,0,0,71,0,0,0,0,1,0,0,0,181,0,0,0,0,0,0,0,156,3,0,35,47,0,1205,0,0,0,0,0,0,0
0.32,0,39,0,0,0,0,0,4,112,8,0,0,0,0,98,0,11,0,0,1,10,0,4,309,1,0,0,1044,0,140,3,0,2,0,16,5,180,71,38,90,1,0,29,0,84,1,2869,0,0,4,87,0,0,0,0,0,0,0,0,0,84,36,18,24,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,154,4,0,31,52,0,1205,0,0,0,0,0,0,0
0.34,0,39,0,0,0,0,0,4,110,10,0,0,0,0,97,0,11,0,0,4,8,0,4,315,0,0,0,1050,0,129,6,0,2,0,18,6,180,76,33,95,1,0,24,0,84,1,2869,0,0,4,92,0,0,0,0,0,0,0,0,0,82,38,20,22,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,151,3,0,28,59,0,1205,0,0,0,0,0,0,0
0.36,0,39,0,0,0,0,0,4,108,12,0,0,0,0,99,0,10,0,0,2,9,0,4,316,0,0,0,1048,0,130,5,0,4,0,18,7,180,77,32,84,0,0,36,0,86,1,2869,0,0,4,80,0,0,0,0,0,0,0,0,0,83,37,19,23,0,0,71,0,0,0,0,1,0,0,0,181,0,0,0,0,0,0,0,154,7,0,20,60,0,1205,0,0,0,0,0,0,0
0.38,0,39,0,0,0,0,0,4,103,17,0,0,0,0,97,0,12,0,0,2,9,0,4,311,1,0,0,1051,1,126,3,0,6,0,18,7,180,73,36,87,0,0,33,0,89,1,2855,0,0,4,83,0,0,0,0,0,0,0,0,0,84,36,18,24,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,147,3,0,21,70,0,1205,0,0,0,0,0,0,0
0.4,0,39,0,0,0,0,0,4,109,11,0,0,0,0,100,0,10,0,0,1,9,0,4,309,1,0,0,1058,0,119,2,0,8,0,18,3,180,76,33,87,0,0,33,0,107,1,2849,0,0,4,83,0,0,0,0,0,0,0,0,0,80,40,19,23,0,0,70,0,0,0,0,2,0,0,0,181,0,0,0,0,0,0,0,138,4,0,24,75,0,1205,0,0,0,0,0,0,0
0.42,0,39,0,0,0,0,0,4,105,15,0,0,0,0,97,0,16,0,0,0,7,0,4,310,0,0,0,1057,0,120,0,0,3,0,25,3,180,77,32,94,1,0,25,0,103,1,2845,0,0,4,91,0,0,0,0,0,0,0,0,0,77,43,22,20,0,0,71,0,0,0,0,1,0,0,0,181,0,0,0,0,0,0,0,132,3,0,26,80,0,1205,0,0,0,0,0,0,0
0.44,0,39,0,0,0,0,0,4,102,18,0,0,0,0,97,0,17,0,0,1,5,0,4,303,1,0,0,1048,1,127,1,0,5,0,23,4,180,72,37,89,0,0,31,0,106,1,2832,0,0,4,85,0,0,0,0,0,0,0,0,0,77,43,21,21,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,137,10,0,21,73,0,1205,0,0,0,0,0,0,0
0.46,0,40,0,0,0,0,0,3,98,22,0,0,0,0,105,0,8,0,0,3,4,0,4,281,1,0,0,1028,0,146,2,0,2,0,26,2,179,75,34,91,0,0,29,0,114,1,2830,0,0,3,88,0,0,0,0,0,0,0,0,0,79,41,22,20,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,132,7,0,23,79,0,1205,0,0,0,0,1,0,0
0.48,0,40,0,0,0,0,0,3,100,20,0,0,0,0,101,0,12,0,0,1,6,0,4,295,0,0,0,1044,0,129,3,0,3,0,25,6,179,82,27,86,0,0,34,0,120,1,2831,0,0,3,83,0,0,0,0,0,0,0,0,0,80,40,21,21,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,130,3,0,23,85,0,1205,0,0,0,0,1,0,0
0.5,0,40,0,0,0,0,0,3,100,20,0,0,0,0,95,0,18,0,0,2,5,0,4,308,0,0,0,1056,0,118,2,0,3,0,25,5,179,69,40,87,0,0,33,0,118,1,2813,0,0,3,84,0,0,0,0,0,0,0,0,0,77,43,17,25,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,131,1,0,17,92,0,1205,0,0,0,0,1,0,0
0.52,0,39,0,0,0,0,0,4,105,15,0,0,0,0,97,0,16,0,0,2,5,0,4,295,1,0,0,1050,0,123,3,0,0,0,28,5,179,84,25,82,0,0,38,0,126,1,2827,0,0,4,78,0,0,0,0,0,0,0,0,0,75,45,17,25,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,122,4,0,24,91,0,1205,0,0,0,0,1,0,0
0.54,0,39,0,0,0,0,0,4,100,20,0,0,0,0,98,0,13,0,0,1,8,0,4,284,0,0,0,1036,0,131,6,0,4,0,28,2,180,87,22,89,1,0,30,0,131,1,2824,0,0,4,86,0,0,0,0,0,0,0,0,0,72,48,18,24,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,124,8,0,21,88,0,1205,0,0,0,0,0,0,0
0.56,0,38,0,1,0,0,0,4,106,14,0,0,0,0,93,0,22,0,0,1,4,0,4,292,2,0,0,1053,1,115,3,0,1,0,32,3,180,82,27,88,0,0,32,0,133,1,2814,0,0,4,84,0,0,0,0,0,0,0,0,0,73,47,19,23,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,113,5,0,28,95,0,1205,0,0,0,0,0,0,0
0.58,0,38,0,1,0,0,0,4,103,17,0,0,0,0,98,0,17,0,0,0,5,0,4,300,0,0,0,1050,0,115,7,0,3,0,30,5,180,66,43,92,1,0,27,0,141,1,2793,0,0,4,89,0,0,0,0,0,0,0,0,0,73,47,18,24,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,124,5,0,12,100,0,1205,0,0,0,0,0,0,0
0.6,0,39,0,1,0,0,0,3,108,12,0,0,0,0,103,0,11,0,0,3,3,0,4,260,1,0,0,1015,0,150,6,0,2,0,32,3,180,75,34,86,0,0,34,0,156,1,2795,0,0,3,83,0,0,0,0,0,0,0,0,0,74,46,15,27,0,0,72,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,118,6,0,14,103,0,1205,0,0,0,0,0,0,0
