!!SBtab	Document='D1 LTP time window' TableName='Compound' TableType='Compound' TableTitle='D1 LTP time window Compounds'						
!ID	!Name	!Unit	!InitialValue	!SteadyState	!IsConstant	!Type	!Location
S79	PP1_pSubstrate	nanomole	0	FALSE	FALSE	kinetic	Spine
S80	PP1_D32p34	nanomole	0	FALSE	FALSE	kinetic	Spine
S81	CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd	nanomole	0	FALSE	FALSE	kinetic	Spine
S82	pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd	nanomole	0	FALSE	FALSE	kinetic	Spine
S83	CaMKII_CaM_Ca4_CaMKII_CaM_Ca4	nanomole	0	FALSE	FALSE	kinetic	Spine
S84	pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4	nanomole	0	FALSE	FALSE	kinetic	Spine
S85	PP2B	nanomole	4000	TRUE	FALSE	kinetic	Spine
S86	PP2Bc	nanomole	0	FALSE	FALSE	kinetic	Spine
S87	PP2Bc_D32p34	nanomole	0	FALSE	FALSE	kinetic	Spine
S88	PP2B_CaM	nanomole	0	FALSE	FALSE	kinetic	Spine
S89	PP2B_CaM_Ca2	nanomole	0	FALSE	FALSE	kinetic	Spine
S90	pARPP21	nanomole	0	FALSE	FALSE	kinetic	Spine
S91	ARPP21	nanomole	20000	TRUE	FALSE	kinetic	Spine
S92	pCaMKII_psd_Substrate	nanomole	0	FALSE	FALSE	kinetic	Spine
S93	pCaMKII_CaM_psd_Substrate	nanomole	0	FALSE	FALSE	kinetic	Spine
S94	pCaMKII_CaM_Ca2_psd_Substrate	nanomole	0	FALSE	FALSE	kinetic	Spine
S95	pCaMKII_CaM_Ca4_psd_Substrate	nanomole	0	FALSE	FALSE	kinetic	Spine
S96	CaMKII_CaM_psd_Substrate	nanomole	0	FALSE	FALSE	kinetic	Spine
S97	CaMKII_CaM_Ca2_psd_Substrate	nanomole	0	FALSE	FALSE	kinetic	Spine
S98	CaMKII_CaM_Ca4_psd_Substrate	nanomole	0	FALSE	FALSE	kinetic	Spine
