!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E8'  TableTitle=''  Document='D1 LTP time window'									%												
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3	%	!Input_Time	>S24	!Sim_Time									
E8T0	0	84.4789126507574	1	2672.08932950757	1	3200.52601861446	1	36817.5164613681	1	%	0	60	20									
E8T1	0.01	84.478912650605	1	2672.08932950783	1	3200.52601876848	1	36817.5164613708	1	%	0.01	60										
E8T2	0.02	84.4789126499902	1	2672.08932950897	1	3200.5260192672	1	36817.5164613736	1	%	0.02	60										
E8T3	0.03	84.4789126484949	1	2672.08932951171	1	3200.52602019651	1	36817.5164613766	1	%	0.03	60										
E8T4	0.04	84.4789126456319	1	2672.08932951692	1	3200.5260215718	1	36817.5164613798	1	%	0.04	60										
E8T5	0.05	84.4789126408727	1	2672.08932952547	1	3200.526023374	1	36817.5164613834	1	%	0.05	60										
E8T6	0.06	84.4789126336658	1	2672.08932953829	1	3200.52602556961	1	36817.5164613873	1	%	0.06	60										
E8T7	0.07	84.4789126241385	1	2672.08932955512	1	3200.52602806151	1	36817.5164613913	1	%	0.07	60										
E8T8	0.08	84.4789126115842	1	2672.08932957711	1	3200.5260308539	1	36817.5164613957	1	%	0.08	60										
E8T9	0.09	84.4789125953093	1	2672.08932960539	1	3200.52603393621	1	36817.5164614004	1	%	0.09	60										
E8T10	0.1	84.4789125747073	1	2672.08932964091	1	3200.52603728123	1	36817.5164614053	1	%	0.1	60										
E8T11	0.11	84.4789125492208	1	2672.08932968451	1	3200.52604085655	1	36817.5164614105	1	%	0.11	60										
E8T12	0.12	84.4789125183195	1	2672.089329737	1	3200.52604463066	1	36817.5164614159	1	%	0.12	60										
E8T13	0.13	84.4789124814945	1	2672.08932979911	1	3200.52604857487	1	36817.5164614215	1	%	0.13	60										
E8T14	0.14	84.4789124382589	1	2672.08932987158	1	3200.52605266351	1	36817.5164614274	1	%	0.14	60										
E8T15	0.15	84.4789123881497	1	2672.08932995506	1	3200.52605687376	1	36817.5164614334	1	%	0.15	60										
E8T16	0.16	84.4789123307288	1	2672.0893300502	1	3200.52606118532	1	36817.5164614396	1	%	0.16	60										
E8T17	0.17	84.4789122655828	1	2672.0893301576	1	3200.52606558024	1	36817.516461446	1	%	0.17	60										
E8T18	0.18	84.4789121923235	1	2672.08933027782	1	3200.52607004262	1	36817.5164614525	1	%	0.18	60										
E8T19	0.19	84.4789121105869	1	2672.08933041138	1	3200.52607455845	1	36817.5164614592	1	%	0.19	60										
E8T20	0.2	84.4789120200329	1	2672.08933055876	1	3200.52607911537	1	36817.5164614659	1	%	0.2	60										
E8T21	0.21	84.478911920344	1	2672.08933072044	1	3200.52608370255	1	36817.5164614728	1	%	0.21	60										
E8T22	0.22	84.4789118112245	1	2672.08933089683	1	3200.52608831048	1	36817.5164614798	1	%	0.22	60										
E8T23	0.23	84.478911692399	1	2672.08933108831	1	3200.52609293085	1	36817.5164614869	1	%	0.23	60										
E8T24	0.24	84.478911563612	1	2672.08933129527	1	3200.52609755644	1	36817.516461494	1	%	0.24	60										
E8T25	0.25	84.4789114246261	1	2672.08933151802	1	3200.52610218096	1	36817.5164615013	1	%	0.25	60										
E8T26	0.26	84.478911275221	1	2672.08933175687	1	3200.52610679897	1	36817.5164615085	1	%	0.26	60										
E8T27	0.27	84.4789111151928	1	2672.08933201211	1	3200.52611140579	1	36817.5164615158	1	%	0.27	60										
E8T28	0.28	84.4789109443524	1	2672.08933228398	1	3200.52611599739	1	36817.5164615232	1	%	0.28	60										
E8T29	0.29	84.4789107625248	1	2672.08933257273	1	3200.52612057037	1	36817.5164615306	1	%	0.29	60										
E8T30	0.3	84.4789105695483	1	2672.08933287855	1	3200.52612512181	1	36817.516461538	1	%	0.3	60										
E8T31	0.31	84.4789103652731	1	2672.08933320164	1	3200.52612964929	1	36817.5164615454	1	%	0.31	60										
E8T32	0.32	84.478910149561	1	2672.08933354216	1	3200.52613415078	1	36817.5164615528	1	%	0.32	60										
E8T33	0.33	84.4789099222842	1	2672.08933390027	1	3200.52613862463	1	36817.5164615602	1	%	0.33	60										
E8T34	0.34	84.4789096833248	1	2672.08933427608	1	3200.5261430695	1	36817.5164615676	1	%	0.34	60										
E8T35	0.35	84.4789094325742	1	2672.08933466972	1	3200.52614748431	1	36817.5164615751	1	%	0.35	60										
E8T36	0.36	84.4789091699322	1	2672.08933508128	1	3200.52615186827	1	36817.5164615825	1	%	0.36	60										
E8T37	0.37	84.4789088953065	1	2672.08933551085	1	3200.52615622077	1	36817.5164615899	1	%	0.37	60										
E8T38	0.38	84.4789086086122	1	2672.08933595848	1	3200.5261605414	1	36817.5164615972	1	%	0.38	60										
E8T39	0.39	84.4789083097715	1	2672.08933642424	1	3200.5261648299	1	36817.5164616046	1	%	0.39	60										
E8T40	0.4	84.4789079987128	1	2672.08933690817	1	3200.52616908618	1	36817.516461612	1	%	0.4	60										
E8T41	0.41	84.4789076753707	1	2672.0893374103	1	3200.52617331024	1	36817.5164616193	1	%	0.41	60										
E8T42	0.42	84.4789073396853	1	2672.08933793065	1	3200.52617750221	1	36817.5164616266	1	%	0.42	60										
E8T43	0.43	84.4789069916022	1	2672.08933846922	1	3200.52618166228	1	36817.5164616338	1	%	0.43	60										
E8T44	0.44	84.4789066310719	1	2672.08933902601	1	3200.52618579076	1	36817.516461641	1	%	0.44	60										
E8T45	0.45	84.4789062580493	1	2672.08933960102	1	3200.52618988798	1	36817.5164616482	1	%	0.45	60										
