1.004800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.004800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.004900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.004900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.005900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.005900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.006000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.006000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.006100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.006100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.006200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.006200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.006300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.006300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.006400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.006400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.006500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.006500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.006600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.006600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.006700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.006700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.006800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.006800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.006900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.006900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.007000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.007000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.007100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.007100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.007200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.007200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.007300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.007300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.007400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.007400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.007500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.007500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.007600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.007600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.007700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.007700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.007800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.007800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.007900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.007900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.008000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.008000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.008100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.008100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.008200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.008200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.008300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.008300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.008400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.008400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.008500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.008500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.008600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.008600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.008700e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.008700e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.008800e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.008800e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.008900e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.008900e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.009000e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.009000e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.009100e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.009100e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.009200e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.009200e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.009300e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.009300e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.009400e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.009400e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.009500e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.009500e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.009600e+02 	setConc 	DA()@Spine 	2.000000e-08 
1.009600e+02 	setConc 	Ca()@Spine 	6.000000e-08 
1.009700e+02 	setConc 	DA()@Spine 	2.000000e-08 
