!!SBtab	Document='D1 LTP time window' TableName='Compound' TableType='Compound' TableTitle='D1 LTP time window Compounds'								
!ID	!Name	!Unit	!InitialValue	!IsConstant	!Assignement	!Interpolation	!Type	!Location	!IsInput
S76	PKAreg	nanomole/liter	0	false	false	false	kinetic	Spine	false
S77	PP1	nanomole/liter	3000	false	false	false	kinetic	Spine	false
S78	PP1_pCaMKII_psd	nanomole/liter	0	false	false	false	kinetic	Spine	false
S79	PP1_pSubstrate	nanomole/liter	0	false	false	false	kinetic	Spine	false
S80	PP1_D32p34	nanomole/liter	0	false	false	false	kinetic	Spine	false
S81	CaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd	nanomole/liter	0	false	false	false	kinetic	Spine	false
S82	pCaMKII_CaM_Ca4_psd_CaMKII_CaM_Ca4_psd	nanomole/liter	0	false	false	false	kinetic	Spine	false
S83	CaMKII_CaM_Ca4_CaMKII_CaM_Ca4	nanomole/liter	0	false	false	false	kinetic	Spine	false
S84	pCaMKII_CaM_Ca4_CaMKII_CaM_Ca4	nanomole/liter	0	false	false	false	kinetic	Spine	false
S85	PP2B	nanomole/liter	4000	false	false	false	kinetic	Spine	false
S86	PP2Bc	nanomole/liter	0	false	false	false	kinetic	Spine	false
S87	PP2Bc_D32p34	nanomole/liter	0	false	false	false	kinetic	Spine	false
S88	PP2B_CaM	nanomole/liter	0	false	false	false	kinetic	Spine	false
S89	PP2B_CaM_Ca2	nanomole/liter	0	false	false	false	kinetic	Spine	false
S90	pARPP21	nanomole/liter	0	false	false	false	kinetic	Spine	false
S91	ARPP21	nanomole/liter	20000	false	false	false	kinetic	Spine	false
S92	pCaMKII_psd_Substrate	nanomole/liter	0	false	false	false	kinetic	Spine	false
S93	pCaMKII_CaM_psd_Substrate	nanomole/liter	0	false	false	false	kinetic	Spine	false
S94	pCaMKII_CaM_Ca2_psd_Substrate	nanomole/liter	0	false	false	false	kinetic	Spine	false
S95	pCaMKII_CaM_Ca4_psd_Substrate	nanomole/liter	0	false	false	false	kinetic	Spine	false
S96	CaMKII_CaM_psd_Substrate	nanomole/liter	0	false	false	false	kinetic	Spine	false
S97	CaMKII_CaM_Ca2_psd_Substrate	nanomole/liter	0	false	false	false	kinetic	Spine	false
S98	CaMKII_CaM_Ca4_psd_Substrate	nanomole/liter	0	false	false	false	kinetic	Spine	false
