!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E5'  TableTitle=''  Document='D1 LTP time window'								
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E5T0	0	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T1	0.01	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T2	0.02	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T3	0.03	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T4	0.04	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T5	0.05	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T6	0.06	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T7	0.07	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T8	0.08	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T9	0.09	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T10	0.1	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T11	0.11	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T12	0.12	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T13	0.13	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T14	0.14	84.4789	1	2672.0893	1	3200.526	1	36817.5165	1
E5T15	0.15	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T16	0.16	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T17	0.17	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T18	0.18	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T19	0.19	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T20	0.2	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T21	0.21	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T22	0.22	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T23	0.23	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T24	0.24	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T25	0.25	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T26	0.26	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T27	0.27	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T28	0.28	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T29	0.29	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T30	0.3	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T31	0.31	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T32	0.32	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T33	0.33	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T34	0.34	84.4789	1	2672.0893	1	3200.5261	1	36817.5165	1
E5T35	0.35	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1
E5T36	0.36	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1
E5T37	0.37	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1
E5T38	0.38	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1
E5T39	0.39	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1
E5T40	0.4	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1
E5T41	0.41	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1
E5T42	0.42	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1
E5T43	0.43	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1
E5T44	0.44	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1
E5T45	0.45	84.4789	1	2672.0893	1	3200.5262	1	36817.5165	1
