!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E3'  TableTitle=''  Document='D1 LTP time window'								
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E3T67	0.67	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T68	0.68	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T69	0.69	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T70	0.7	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T71	0.71	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T72	0.72	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T73	0.73	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T74	0.74	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T75	0.75	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T76	0.76	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T77	0.77	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T78	0.78	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T79	0.79	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T80	0.8	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T81	0.81	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T82	0.82	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T83	0.83	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T84	0.84	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T85	0.85	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T86	0.86	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T87	0.87	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T88	0.88	84.4789	1	2672.0894	1	3200.5263	1	36817.5165	1
E3T89	0.89	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T90	0.9	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T91	0.91	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T92	0.92	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T93	0.93	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T94	0.94	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T95	0.95	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T96	0.96	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T97	0.97	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T98	0.98	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T99	0.99	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
E3T100	1	84.4789	1	2672.0894	1	3200.5264	1	36817.5165	1
