!!SBtab	SBtabVersion='1.0' Document='D1_LTP_time_window_SBtab' TableName='E1I' TableTitle='D1_LTP_time_window_SBtab E1I' TableType = 'QuantityMatrix'			
!ID	!Input_Time_S24	>S24	!Input_Time_S48	>S48
E1IT160	1.6	60	1.6	511.6769
E1IT161	1.61	60	1.61	500.3533
E1IT162	1.62	60	1.62	489.2904
E1IT163	1.63	60	1.63	478.4824
E1IT164	1.64	60	1.64	467.9232
E1IT165	1.65	60	1.65	457.6073
E1IT166	1.66	60	1.66	447.5289
E1IT167	1.67	60	1.67	437.6826
E1IT168	1.68	60	1.68	428.0631
E1IT169	1.69	60	1.69	418.6651
E1IT170	1.7	60	1.7	409.4836
E1IT171	1.71	60	1.71	400.5136
E1IT172	1.72	60	1.72	391.7501
E1IT173	1.73	60	1.73	383.1884
E1IT174	1.74	60	1.74	374.824
E1IT175	1.75	60	1.75	366.6522
E1IT176	1.76	60	1.76	358.6685
E1IT177	1.77	60	1.77	350.8688
E1IT178	1.78	60	1.78	343.2486
E1IT179	1.79	60	1.79	335.804
E1IT180	1.8	60	1.8	328.5308
E1IT181	1.81	60	1.81	321.4252
E1IT182	1.82	60	1.82	314.4832
E1IT183	1.83	60	1.83	307.701
E1IT184	1.84	60	1.84	301.0751
E1IT185	1.85	60	1.85	294.6017
E1IT186	1.86	60	1.86	288.2775
E1IT187	1.87	60	1.87	282.0989
E1IT188	1.88	60	1.88	276.0626
E1IT189	1.89	60	1.89	270.1653
E1IT190	1.9	60	1.9	264.4038
E1IT191	1.91	60	1.91	258.775
E1IT192	1.92	60	1.92	253.2759
E1IT193	1.93	60	1.93	247.9034
E1IT194	1.94	60	1.94	242.6546
E1IT195	1.95	60	1.95	237.5267
E1IT196	1.96	60	1.96	232.517
E1IT197	1.97	60	1.97	227.6226
E1IT198	1.98	60	1.98	222.8409
E1IT199	1.99	60	1.99	218.1693
E1IT200	2	60	2	213.6054
E1IT201	2.01	60	2.01	209.1465
E1IT202	2.02	60	2.02	204.7903
E1IT203	2.03	60	2.03	200.5345
E1IT204	2.04	60	2.04	196.3767
E1IT205	2.05	60	2.05	192.3146
E1IT206	2.06	60	2.06	188.3461
E1IT207	2.07	60	2.07	184.469
E1IT208	2.08	60	2.08	180.6811
E1IT209	2.09	60	2.09	176.9805
E1IT210	2.1	60	2.1	173.3652
E1IT211	2.11	60	2.11	169.8331
E1IT212	2.12	60	2.12	166.3823
E1IT213	2.13	60	2.13	163.011
E1IT214	2.14	60	2.14	159.7174
E1IT215	2.15	60	2.15	156.4996
E1IT216	2.16	60	2.16	153.356
E1IT217	2.17	60	2.17	150.2847
E1IT218	2.18	60	2.18	147.2841
E1IT219	2.19	60	2.19	144.3527
E1IT220	2.2	60	2.2	141.4888
E1IT221	2.21	60	2.21	138.6908
E1IT222	2.22	60	2.22	135.9573
E1IT223	2.23	60	2.23	133.2867
E1IT224	2.24	60	2.24	130.6776
E1IT225	2.25	60	2.25	128.1287
E1IT226	2.26	60	2.26	125.6384
E1IT227	2.27	60	2.27	123.2055
E1IT228	2.28	60	2.28	120.8286
E1IT229	2.29	60	2.29	118.5064
E1IT230	2.3	60	2.3	116.2378
E1IT231	2.31	60	2.31	114.0213
E1IT232	2.32	60	2.32	111.856
E1IT233	2.33	60	2.33	109.7405
E1IT234	2.34	60	2.34	107.6737
E1IT235	2.35	60	2.35	105.6545
E1IT236	2.36	60	2.36	103.6818
E1IT237	2.37	60	2.37	101.7546
E1IT238	2.38	60	2.38	99.8717
E1IT239	2.39	60	2.39	98.0322
E1IT240	2.4	60	2.4	96.2351
E1IT241	2.41	60	2.41	94.4793
E1IT242	2.42	60	2.42	92.764
E1IT243	2.43	60	2.43	91.0882
E1IT244	2.44	60	2.44	89.451
E1IT245	2.45	60	2.45	87.8515
E1IT246	2.46	60	2.46	86.2889
E1IT247	2.47	60	2.47	84.7622
E1IT248	2.48	60	2.48	83.2707
E1IT249	2.49	60	2.49	81.8135
E1IT250	2.5	60	2.5	80.3899
E1IT251	2.51	60	2.51	78.9991
E1IT252	2.52	60	2.52	77.6403
E1IT253	2.53	60	2.53	76.3128
E1IT254	2.54	60	2.54	75.0159
E1IT255	2.55	60	2.55	73.7488
E1IT256	2.56	60	2.56	72.511
E1IT257	2.57	60	2.57	71.3016
E1IT258	2.58	60	2.58	70.1201
E1IT259	2.59	60	2.59	68.9658
E1IT260	2.6	60	2.6	67.8381
E1IT261	2.61	60	2.61	66.7363
E1IT262	2.62	60	2.62	65.66
E1IT263	2.63	60	2.63	64.6084
E1IT264	2.64	60	2.64	63.581
E1IT265	2.65	60	2.65	62.5773
E1IT266	2.66	60	2.66	61.5967
E1IT267	2.67	60	2.67	60.6387
E1IT268	2.68	60	2.68	59.7028
E1IT269	2.69	60	2.69	58.7884
E1IT270	2.7	60	2.7	57.8951
E1IT271	2.71	60	2.71	57.0224
E1IT272	2.72	60	2.72	56.1697
E1IT273	2.73	60	2.73	55.3367
E1IT274	2.74	60	2.74	54.5229
E1IT275	2.75	60	2.75	53.7278
E1IT276	2.76	60	2.76	52.951
E1IT277	2.77	60	2.77	52.1921
E1IT278	2.78	60	2.78	51.4507
E1IT279	2.79	60	2.79	50.7264
E1IT280	2.8	60	2.8	50.0187
E1IT281	2.81	60	2.81	49.3274
E1IT282	2.82	60	2.82	48.652
E1IT283	2.83	60	2.83	47.9921
E1IT284	2.84	60	2.84	47.3474
E1IT285	2.85	60	2.85	46.7176
E1IT286	2.86	60	2.86	46.1023
E1IT287	2.87	60	2.87	45.5011
E1IT288	2.88	60	2.88	44.9138
E1IT289	2.89	60	2.89	44.34
E1IT290	2.9	60	2.9	43.7795
E1IT291	2.91	60	2.91	43.2318
E1IT292	2.92	60	2.92	42.6968
E1IT293	2.93	60	2.93	42.174
E1IT294	2.94	60	2.94	41.6633
E1IT295	2.95	60	2.95	41.1644
E1IT296	2.96	60	2.96	40.677
E1IT297	2.97	60	2.97	40.2008
E1IT298	2.98	60	2.98	39.7356
E1IT299	2.99	60	2.99	39.281
E1IT300	3	60	3	38.837
E1IT301	3.01	60	3.01	38.4031
E1IT302	3.02	60	3.02	37.9793
E1IT303	3.03	60	3.03	37.5652
E1IT304	3.04	60	3.04	37.1607
E1IT305	3.05	60	3.05	36.7655
E1IT306	3.06	60	3.06	36.3794
E1IT307	3.07	60	3.07	36.0021
E1IT308	3.08	60	3.08	35.6336
E1IT309	3.09	60	3.09	35.2735
E1IT310	3.1	60	3.1	34.9218
E1IT311	3.11	60	3.11	34.5781
E1IT312	3.12	60	3.12	34.2424
E1IT313	3.13	60	3.13	33.9144
E1IT314	3.14	60	3.14	33.5939
E1IT315	3.15	60	3.15	33.2808
E1IT316	3.16	60	3.16	32.975
E1IT317	3.17	60	3.17	32.6761
E1IT318	3.18	60	3.18	32.3842
E1IT319	3.19	60	3.19	32.099
E1IT320	3.2	60	3.2	31.8203
E1IT321	3.21	60	3.21	31.5481
E1IT322	3.22	60	3.22	31.2822
E1IT323	3.23	60	3.23	31.0223
E1IT324	3.24	60	3.24	30.7685
E1IT325	3.25	60	3.25	30.5205
E1IT326	3.26	60	3.26	30.2782
E1IT327	3.27	60	3.27	30.0415
E1IT328	3.28	60	3.28	29.8102
E1IT329	3.29	60	3.29	29.5843
E1IT330	3.3	60	3.3	29.3635
E1IT331	3.31	60	3.31	29.1479
E1IT332	3.32	60	3.32	28.9372
E1IT333	3.33	60	3.33	28.7314
E1IT334	3.34	60	3.34	28.5303
E1IT335	3.35	60	3.35	28.3338
E1IT336	3.36	60	3.36	28.1419
E1IT337	3.37	60	3.37	27.9544
E1IT338	3.38	60	3.38	27.7712
E1IT339	3.39	60	3.39	27.5922
E1IT340	3.4	60	3.4	27.4173
E1IT341	3.41	60	3.41	27.2465
E1IT342	3.42	60	3.42	27.0796
E1IT343	3.43	60	3.43	26.9166
E1IT344	3.44	60	3.44	26.7573
E1IT345	3.45	60	3.45	26.6017
E1IT346	3.46	60	3.46	26.4496
E1IT347	3.47	60	3.47	26.3011
E1IT348	3.48	60	3.48	26.156
E1IT349	3.49	60	3.49	26.0142
E1IT350	3.5	60	3.5	25.8757
E1IT351	3.51	60	3.51	25.7404
E1IT352	3.52	60	3.52	25.6082
E1IT353	3.53	60	3.53	25.479
E1IT354	3.54	60	3.54	25.3528
E1IT355	3.55	60	3.55	25.2295
E1IT356	3.56	60	3.56	25.1091
E1IT357	3.57	60	3.57	24.9914
E1IT358	3.58	60	3.58	24.8765
E1IT359	3.59	60	3.59	24.7642
E1IT360	3.6	60	3.6	24.6544
E1IT361	3.61	60	3.61	24.5472
E1IT362	3.62	60	3.62	24.4425
E1IT363	3.63	60	3.63	24.3402
E1IT364	3.64	60	3.64	24.2402
E1IT365	3.65	60	3.65	24.1426
E1IT366	3.66	60	3.66	24.0472
E1IT367	3.67	60	3.67	23.954
E1IT368	3.68	60	3.68	23.8629
E1IT369	3.69	60	3.69	23.7739
E1IT370	3.7	60	3.7	23.687
E1IT371	3.71	60	3.71	23.6021
E1IT372	3.72	60	3.72	23.5192
E1IT373	3.73	60	3.73	23.4381
E1IT374	3.74	60	3.74	23.3589
E1IT375	3.75	60	3.75	23.2816
E1IT376	3.76	60	3.76	23.206
E1IT377	3.77	60	3.77	23.1322
E1IT378	3.78	60	3.78	23.06
E1IT379	3.79	60	3.79	22.9895
E1IT380	3.8	60	3.8	22.9207
E1IT381	3.81	60	3.81	22.8534
E1IT382	3.82	60	3.82	22.7877
E1IT383	3.83	60	3.83	22.7235
