!!SBtab	SBtabVersion='1.0' Document='D1_LTP_time_window_SBtab' TableName='Input' TableTitle='D1_LTP_time_window_SBtab Input' TableType = 'Quantity'		
!ID	!Name	!DefaultValue	!Unit
INP0	DA_start	100	millisecond
INP1	DA_max	1480	nanomole/liter
