!!SBtab	SBtabVersion='1.0' Document='D1_LTP_time_window_SBtab' TableName='E1' TableTitle='D1_LTP_time_window_SBtab E1' TableType = 'QuantityMatrix'								
!ID	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E1T51	0.51	84.4789	0.84479	2672.0893	26.7209	3200.5262	32.0053	36817.5165	368.1752
E1T52	0.52	84.4789	0.84479	2672.0893	26.7209	3200.5262	32.0053	36817.5165	368.1752
E1T53	0.53	84.4789	0.84479	2672.0893	26.7209	3200.5262	32.0053	36817.5165	368.1752
E1T54	0.54	84.4789	0.84479	2672.0894	26.7209	3200.5262	32.0053	36817.5165	368.1752
E1T55	0.55	84.4789	0.84479	2672.0894	26.7209	3200.5262	32.0053	36817.5165	368.1752
E1T56	0.56	84.4789	0.84479	2672.0894	26.7209	3200.5262	32.0053	36817.5165	368.1752
E1T57	0.57	84.4789	0.84479	2672.0894	26.7209	3200.5262	32.0053	36817.5165	368.1752
E1T58	0.58	84.4789	0.84479	2672.0894	26.7209	3200.5262	32.0053	36817.5165	368.1752
E1T59	0.59	84.4789	0.84479	2672.0894	26.7209	3200.5262	32.0053	36817.5165	368.1752
E1T60	0.6	84.4789	0.84479	2672.0894	26.7209	3200.5262	32.0053	36817.5165	368.1752
E1T61	0.61	84.4789	0.84479	2672.0894	26.7209	3200.5262	32.0053	36817.5165	368.1752
E1T62	0.62	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T63	0.63	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T64	0.64	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T65	0.65	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T66	0.66	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T67	0.67	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T68	0.68	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T69	0.69	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T70	0.7	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T71	0.71	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T72	0.72	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T73	0.73	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T74	0.74	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T75	0.75	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T76	0.76	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T77	0.77	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T78	0.78	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T79	0.79	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T80	0.8	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T81	0.81	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T82	0.82	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T83	0.83	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T84	0.84	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T85	0.85	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T86	0.86	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T87	0.87	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T88	0.88	84.4789	0.84479	2672.0894	26.7209	3200.5263	32.0053	36817.5165	368.1752
E1T89	0.89	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T90	0.9	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T91	0.91	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T92	0.92	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T93	0.93	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T94	0.94	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T95	0.95	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T96	0.96	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T97	0.97	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T98	0.98	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T99	0.99	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T100	1	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T101	1.01	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5165	368.1752
E1T102	1.02	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5164	368.1752
E1T103	1.03	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5163	368.1752
E1T104	1.04	84.4789	0.84479	2672.0894	26.7209	3200.5264	32.0053	36817.5157	368.1752
E1T105	1.05	84.4789	0.84479	2672.0892	26.7209	3200.5264	32.0053	36817.5144	368.1751
E1T106	1.06	84.4789	0.84479	2672.089	26.7209	3200.5264	32.0053	36817.5121	368.1751
E1T107	1.07	84.4789	0.84479	2672.0885	26.7209	3200.5264	32.0053	36817.5081	368.1751
E1T108	1.08	84.4789	0.84479	2672.0877	26.7209	3200.5264	32.0053	36817.5021	368.175
E1T109	1.09	84.4789	0.84479	2672.0863	26.7209	3200.5264	32.0053	36817.4933	368.1749
E1T110	1.1	84.4789	0.84479	2672.0841	26.7208	3200.5264	32.0053	36817.4811	368.1748
E1T111	1.11	84.4789	0.84479	2672.081	26.7208	3200.5264	32.0053	36817.4647	368.1746
E1T112	1.12	84.4789	0.84479	2672.0766	26.7208	3200.5264	32.0053	36817.4429	368.1744
E1T113	1.13	84.4789	0.84479	2672.0705	26.7207	3200.5264	32.0053	36817.4147	368.1741
E1T114	1.14	84.4789	0.84479	2672.0623	26.7206	3200.5264	32.0053	36817.3788	368.1738
E1T115	1.15	84.4789	0.84479	2672.0515	26.7205	3200.5264	32.0053	36817.3334	368.1733
E1T116	1.16	84.4789	0.84479	2672.0375	26.7204	3200.5264	32.0053	36817.2768	368.1728
E1T117	1.17	84.4789	0.84479	2672.0195	26.7202	3200.5264	32.0053	36817.2068	368.1721
E1T118	1.18	84.479	0.84479	2671.9968	26.72	3200.5263	32.0053	36817.1207	368.1712
E1T119	1.19	84.479	0.84479	2671.9683	26.7197	3200.5263	32.0053	36817.0156	368.1702
E1T120	1.2	84.4791	0.84479	2671.9329	26.7193	3200.5262	32.0053	36816.8878	368.1689
E1T121	1.21	84.4791	0.84479	2671.8891	26.7189	3200.5262	32.0053	36816.7334	368.1673
E1T122	1.22	84.4792	0.84479	2671.8354	26.7184	3200.5261	32.0053	36816.5476	368.1655
E1T123	1.23	84.4793	0.84479	2671.7699	26.7177	3200.526	32.0053	36816.3249	368.1632
E1T124	1.24	84.4795	0.84479	2671.6905	26.7169	3200.5259	32.0053	36816.0592	368.1606
E1T125	1.25	84.4796	0.8448	2671.5945	26.7159	3200.5257	32.0053	36815.7432	368.1574
E1T126	1.26	84.4798	0.8448	2671.4792	26.7148	3200.5255	32.0053	36815.369	368.1537
