!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E8I'  TableTitle=''  Document='D1 LTP time window'		
!Input_Time_S24	>S24	!Input_Time_S48	>S48
2.59	60	2.59	20
2.6	60	2.6	20
2.61	60	2.61	20
2.62	60	2.62	20
2.63	60	2.63	20
2.64	60	2.64	20
2.65	60	2.65	20
2.66	60	2.66	20
2.67	60	2.67	20
2.68	60	2.68	20
2.69	60	2.69	20
2.7	60	2.7	20
2.71	60	2.71	20
2.72	60	2.72	20
2.73	60	2.73	20
2.74	60	2.74	20
2.75	60	2.75	20
2.76	60	2.76	20
2.77	60	2.77	20
2.78	60	2.78	20
2.79	60	2.79	20
2.8	60	2.8	20
2.81	60	2.81	20
2.82	60	2.82	20
2.83	60	2.83	20
2.84	60	2.84	20
2.85	60	2.85	20
2.86	60	2.86	20
2.87	60	2.87	20
2.88	60	2.88	20
2.89	60	2.89	20
2.9	60	2.9	20
2.91	60	2.91	20
2.92	60	2.92	20
2.93	60	2.93	20
2.94	60	2.94	20
2.95	60	2.95	20
2.96	60	2.96	20
2.97	60	2.97	20
2.98	60	2.98	20
2.99	60	2.99	20
3	60	3	20
3.01	60	3.01	20
3.02	60	3.02	20
3.03	60	3.03	20
3.04	60	3.04	20
3.05	60	3.05	20
3.06	60	3.06	20
3.07	60	3.07	20
3.08	60	3.08	20
3.09	60	3.09	20
3.1	60	3.1	20
3.11	60	3.11	20
3.12	60	3.12	20
3.13	60	3.13	20
3.14	60	3.14	20
3.15	60	3.15	20
3.16	60	3.16	20
3.17	60	3.17	20
3.18	60	3.18	20
3.19	60	3.19	20
3.2	60	3.2	20
3.21	60	3.21	20
3.22	60	3.22	20
3.23	60	3.23	20
3.24	60	3.24	20
3.25	60	3.25	20
3.26	60	3.26	20
3.27	60	3.27	20
3.28	60	3.28	20
3.29	60	3.29	20
3.3	60	3.3	20
3.31	60	3.31	20
3.32	60	3.32	20
3.33	60	3.33	20
3.34	60	3.34	20
3.35	60	3.35	20
3.36	60	3.36	20
3.37	60	3.37	20
3.38	60	3.38	20
3.39	60	3.39	20
3.4	60	3.4	20
3.41	60	3.41	20
3.42	60	3.42	20
3.43	60	3.43	20
3.44	60	3.44	20
3.45	60	3.45	20
3.46	60	3.46	20
3.47	60	3.47	20
3.48	60	3.48	20
3.49	60	3.49	20
3.5	60	3.5	20
3.51	60	3.51	20
3.52	60	3.52	20
3.53	60	3.53	20
3.54	60	3.54	20
3.55	60	3.55	20
3.56	60	3.56	20
3.57	60	3.57	20
3.58	60	3.58	20
3.59	60	3.59	20
3.6	60	3.6	20
3.61	60	3.61	20
3.62	60	3.62	20
3.63	60	3.63	20
3.64	60	3.64	20
3.65	60	3.65	20
3.66	60	3.66	20
3.67	60	3.67	20
3.68	60	3.68	20
3.69	60	3.69	20
3.7	60	3.7	20
3.71	60	3.71	20
3.72	60	3.72	20
3.73	60	3.73	20
3.74	60	3.74	20
3.75	60	3.75	20
3.76	60	3.76	20
3.77	60	3.77	20
3.78	60	3.78	20
3.79	60	3.79	20
3.8	60	3.8	20
3.81	60	3.81	20
3.82	60	3.82	20
3.83	60	3.83	20
3.84	60	3.84	20
3.85	60	3.85	20
3.86	60	3.86	20
3.87	60	3.87	20
