!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E4'  TableTitle=''  Document='D1 LTP time window'								
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E4T631	6.31	337.2743	3.3727	1351.6674	13.5167	2866.2619	28.6626	38816.7536	388.1675
E4T632	6.32	338.6847	3.3868	1343.3337	13.4333	2869.8174	28.6982	38794.3778	387.9438
E4T633	6.33	340.0999	3.401	1335.085	13.3509	2873.2601	28.7326	38772.0768	387.7208
E4T634	6.34	341.5198	3.4152	1326.9211	13.2692	2876.5936	28.7659	38749.8517	387.4985
E4T635	6.35	342.9443	3.4294	1318.8417	13.1884	2879.8217	28.7982	38727.7037	387.277
E4T636	6.36	344.3736	3.4437	1310.8465	13.1085	2882.948	28.8295	38705.6338	387.0563
E4T637	6.37	345.8074	3.4581	1302.9355	13.0294	2885.9758	28.8598	38683.6431	386.8364
E4T638	6.38	347.2458	3.4725	1295.1083	12.9511	2888.9084	28.8891	38661.7327	386.6173
E4T639	6.39	348.6888	3.4869	1287.3647	12.8736	2891.7493	28.9175	38639.9035	386.399
E4T640	6.4	350.1362	3.5014	1279.7044	12.797	2894.5015	28.945	38618.1565	386.1816
E4T641	6.41	351.5881	3.5159	1272.1271	12.7213	2897.1678	28.9717	38596.4928	385.9649
E4T642	6.42	353.0444	3.5304	1264.6328	12.6463	2899.7511	28.9975	38574.913	385.7491
E4T643	6.43	354.505	3.5451	1257.221	12.5722	2902.254	29.0225	38553.4182	385.5342
E4T644	6.44	355.97	3.5597	1249.8916	12.4989	2904.6791	29.0468	38532.0091	385.3201
E4T645	6.45	357.4392	3.5744	1242.6442	12.4264	2907.0291	29.0703	38510.6867	385.1069
E4T646	6.46	358.9126	3.5891	1235.4787	12.3548	2909.3065	29.0931	38489.4518	384.8945
E4T647	6.47	360.3901	3.6039	1228.3948	12.2839	2911.5138	29.1151	38468.3053	384.6831
E4T648	6.48	361.8717	3.6187	1221.3921	12.2139	2913.6533	29.1365	38447.2479	384.4725
E4T649	6.49	363.3573	3.6336	1214.4705	12.1447	2915.7275	29.1573	38426.2805	384.2628
E4T650	6.5	364.8469	3.6485	1207.6296	12.0763	2917.7384	29.1774	38405.4038	384.054
