Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,12,0,0,0,0,602,241,0,0,0,0,18067,0,0,0,482,0,0,0,0,0,0,440,4215,0,121,0,108,217,0,0,0,0,0,0,60,0,0,301,0,12,0,0,100,0,0,0,0,301,0,0,603,0,0,60,0,494,0,0,0,0,12,157,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12
20,0,51,1,0,14,2,14,0,0,17,0,515,97,71,0,0,0,18067,0,0,1228,372,0,89,0,0,0,3513,237,4215,0,105,15,108,217,0,0,0,0,0,0,14,15,0,272,6,6,0,0,100,0,0,0,0,301,0,0,583,20,0,40,0,184,0,310,0,0,12,156,49,0,0,2,73,0,0,0,0,21,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,1,0,0,0,0,38,38,38
40,0,33,5,3,21,3,13,2,0,17,0,517,93,60,0,0,0,18067,0,0,1233,369,0,78,0,0,0,3794,270,4215,0,110,11,108,217,0,0,0,0,0,0,15,14,0,270,5,7,0,0,100,0,0,0,0,301,0,0,578,25,0,35,0,194,0,300,0,0,12,157,49,0,0,0,87,0,0,1,0,35,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,41
60,0,44,2,1,22,4,9,1,0,14,1,516,89,62,0,0,0,18067,0,0,1268,353,0,101,0,0,0,3733,223,4215,0,110,11,108,217,0,0,0,0,0,0,22,12,0,275,6,6,0,0,100,0,0,0,0,301,0,0,576,27,0,33,0,189,0,305,0,0,12,157,49,0,0,0,88,0,0,2,0,28,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46
80,0,49,2,0,18,2,15,2,0,17,0,509,78,61,0,0,0,18067,0,0,1387,351,0,102,0,0,0,3920,241,4215,0,110,10,108,217,0,0,0,0,0,0,14,12,0,267,5,7,0,0,100,0,0,0,0,301,0,0,563,40,0,20,0,188,0,306,0,0,12,156,49,0,0,0,102,0,0,0,0,29,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,39,39
100,0,44,5,0,13,6,10,1,0,14,0,521,79,63,0,0,0,18067,0,0,1345,361,0,92,0,0,0,3871,224,4215,0,111,9,108,217,0,0,0,0,0,0,17,13,0,271,6,6,0,0,100,0,0,0,0,301,0,0,568,35,0,25,0,216,0,278,0,0,12,157,49,1,0,0,99,0,0,0,0,29,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36
120,2,56,5,2,14,7,10,1,0,17,0,502,88,61,0,0,1,18067,0,0,1282,364,0,93,0,0,0,3821,238,4215,0,105,15,104,214,0,3,0,4,0,0,15,11,1,266,2,10,0,0,100,0,0,0,0,301,0,0,571,32,0,28,0,200,0,294,0,0,12,157,49,1,0,0,90,0,0,1,0,25,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34
140,7,52,3,0,16,6,13,2,0,22,0,500,82,60,0,0,0,18067,0,0,1250,343,0,105,0,0,0,3782,242,4215,0,109,11,107,214,0,3,0,1,0,0,15,12,0,268,3,9,0,0,100,0,0,0,0,301,0,0,569,34,0,26,0,221,0,273,0,0,12,157,49,1,0,0,98,0,0,1,0,34,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34
160,1,64,7,0,20,6,8,2,1,18,0,488,76,61,0,0,0,18067,0,0,1391,360,0,90,0,0,0,3670,197,4215,0,110,10,108,215,0,2,0,0,0,0,13,10,0,265,5,7,0,0,100,0,0,0,0,301,0,0,568,35,0,25,0,195,0,299,0,0,12,157,49,1,0,1,104,0,0,0,0,32,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36
180,0,55,6,0,19,4,13,1,0,15,0,501,82,66,0,0,0,18067,0,0,1343,355,0,92,0,0,0,3772,235,4215,0,109,11,108,216,0,1,0,0,0,0,14,13,0,268,5,6,0,0,100,0,0,0,0,301,0,0,567,36,0,24,0,203,0,291,0,0,12,156,49,0,1,0,91,0,0,2,0,35,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,45,45,45
200,1,58,6,1,17,3,8,0,1,18,1,501,82,69,0,0,0,18067,0,0,1318,370,0,82,0,0,0,3644,213,4215,0,105,16,108,216,0,1,0,0,0,0,23,12,0,276,0,11,0,0,100,0,0,0,0,301,0,0,573,30,0,30,0,211,0,283,0,0,12,157,49,0,1,0,90,0,0,0,0,30,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33
220,0,54,3,3,23,6,7,0,0,17,1,500,94,60,0,0,0,18067,0,0,1187,360,0,98,0,0,0,3843,226,4215,0,107,14,108,217,0,0,0,0,0,0,13,13,0,269,8,4,0,0,100,0,0,0,0,301,0,0,574,29,0,31,0,193,0,301,0,0,12,157,49,0,0,2,87,0,0,0,0,24,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36
