!!SBtab	SBtabVersion='1.0' Document='SBTAB example small' TableName='E4' TableTitle='SBTAB example small E4' TableType = 'QuantityMatrix'						
!ID	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2
E4T83	8.3	0.68402	0.011018	0.31595	0.01376	0.078945	0.014451
E4T84	8.4	0.6994	0.010596	0.30058	0.013235	0.075103	0.013761
E4T85	8.5	0.71403	0.010192	0.28595	0.012733	0.071448	0.013104
E4T86	8.6	0.72795	0.01	0.27203	0.012253	0.06797	0.012479
E4T87	8.7	0.74119	0.01	0.25879	0.011792	0.064662	0.011884
E4T88	8.8	0.75379	0.01	0.24619	0.011351	0.061514	0.011318
E4T89	8.9	0.76578	0.01	0.2342	0.010927	0.05852	0.010779
E4T90	9	0.77718	0.01	0.2228	0.010521	0.055671	0.010266
E4T91	9.1	0.78803	0.01	0.21195	0.010131	0.052961	0.01
E4T92	9.2	0.79835	0.01	0.20163	0.01	0.050382	0.01
E4T93	9.3	0.80817	0.01	0.19181	0.01	0.047929	0.01
E4T94	9.4	0.81751	0.01	0.18247	0.01	0.045595	0.01
E4T95	9.5	0.8264	0.01	0.17359	0.01	0.043375	0.01
E4T96	9.6	0.83486	0.01	0.16513	0.01	0.041263	0.01
E4T97	9.7	0.8429	0.01	0.15709	0.01	0.039254	0.01
E4T98	9.8	0.85055	0.01	0.14944	0.01	0.037342	0.01
E4T99	9.9	0.85783	0.01	0.14216	0.01	0.035524	0.01
E4T100	10	0.86476	0.01	0.13524	0.01	0.033794	0.01
