!!SBtab	SBtabVersion='1.0' Document='SBTAB example small' TableName='E6' TableTitle='SBTAB example small E6' TableType = 'QuantityMatrix'						
!ID	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2
E6T0	0	4	0.01	0	0.01	0	0.01
E6T1	0.1	4	0.01	0	0.01	0	0.01
E6T2	0.2	4	0.01	0	0.01	0	0.01
E6T3	0.3	4	0.01	0	0.01	0	0.01
E6T4	0.4	4	0.01	0	0.01	0	0.01
E6T5	0.5	4	0.01	0	0.01	0	0.01
E6T6	0.6	4	0.01	0	0.01	0	0.01
E6T7	0.7	4	0.01	0	0.01	0	0.01
E6T8	0.8	4	0.01	0	0.01	0	0.01
E6T9	0.9	4	0.01	0	0.01	0	0.01
E6T10	1	4	0.01	0	0.01	0	0.01
E6T11	1.1	2.6765	0.13399	1.3293	0.17175	0.33714	0.054989
E6T12	1.2	1.7981	0.17623	2.206	0.22291	0.55786	0.07199
E6T13	1.3	1.2135	0.1747	2.787	0.21886	0.70342	0.072791
E6T14	1.4	0.82342	0.15471	3.1737	0.19254	0.80004	0.067666
E6T15	1.5	0.5625	0.12912	3.4321	0.16004	0.86456	0.061368
E6T16	1.6	0.38754	0.10407	3.6054	0.12877	0.90787	0.055887
E6T17	1.7	0.26996	0.08217	3.7221	0.10168	0.9371	0.05182
E6T18	1.8	0.19076	0.064215	3.8009	0.079607	0.9569	0.049101
E6T19	1.9	0.1373	0.050152	3.8543	0.062366	0.97038	0.047418
E6T20	2	0.10114	0.039564	3.8907	0.049392	0.97959	0.046439
E6T21	2.1	0.076626	0.031915	3.9154	0.04	0.98591	0.045899
E6T22	2.2	0.059979	0.026641	3.9323	0.033495	0.99026	0.045617
E6T23	2.3	0.048652	0.023192	3.9439	0.029205	0.99327	0.045478
E6T24	2.4	0.04093	0.021053	3.9519	0.026516	0.99535	0.045416
E6T25	2.5	0.035657	0.019789	3.9574	0.024905	0.9968	0.045394
E6T26	2.6	0.032049	0.01907	3.9612	0.023973	0.99781	0.04539
E6T27	2.7	0.029577	0.018671	3.9638	0.023448	0.99851	0.045394
E6T28	2.8	0.02788	0.018453	3.9656	0.023157	0.99901	0.045401
E6T29	2.9	0.026714	0.018336	3.9669	0.022998	0.99936	0.045408
E6T30	3	0.02591	0.018274	3.9678	0.022912	0.9996	0.045414
E6T31	3.1	0.025356	0.01824	3.9684	0.022866	0.99978	0.045419
E6T32	3.2	0.024973	0.018223	3.9688	0.022841	0.9999	0.045423
E6T33	3.3	0.024708	0.018213	3.9691	0.022828	0.99998	0.045426
E6T34	3.4	0.024525	0.018209	3.9694	0.022821	1	0.045428
E6T35	3.5	0.024398	0.018206	3.9695	0.022817	1.0001	0.04543
E6T36	3.6	0.024309	0.018205	3.9696	0.022816	1.0001	0.045431
E6T37	3.7	0.024248	0.018204	3.9697	0.022815	1.0001	0.045432
E6T38	3.8	0.024205	0.018204	3.9697	0.022814	1.0002	0.045433
E6T39	3.9	0.024175	0.018204	3.9698	0.022814	1.0002	0.045434
E6T40	4	0.024154	0.018203	3.9698	0.022814	1.0002	0.045434
E6T41	4.1	0.02414	0.018203	3.9698	0.022814	1.0002	0.045434
E6T42	4.2	0.024129	0.018203	3.9698	0.022814	1.0002	0.045434
E6T43	4.3	0.024122	0.018203	3.9698	0.022814	1.0002	0.045435
E6T44	4.4	0.024117	0.018203	3.9699	0.022814	1.0002	0.045435
E6T45	4.5	0.024114	0.018203	3.9699	0.022814	1.0002	0.045435
E6T46	4.6	0.024111	0.018203	3.9699	0.022814	1.0002	0.045435
E6T47	4.7	0.024109	0.018203	3.9699	0.022814	1.0002	0.045435
E6T48	4.8	0.024108	0.018203	3.9699	0.022814	1.0002	0.045435
E6T49	4.9	0.024107	0.018203	3.9699	0.022814	1.0002	0.045435
E6T50	5	0.024107	0.018203	3.9699	0.022814	1.0002	0.045435
E6T51	5.1	0.024106	0.018203	3.9699	0.022814	1.0002	0.045435
E6T52	5.2	0.024106	0.018203	3.9699	0.022814	1.0002	0.045435
E6T53	5.3	0.024106	0.018203	3.9699	0.022814	1.0002	0.045435
E6T54	5.4	0.024106	0.018203	3.9699	0.022814	1.0002	0.045435
E6T55	5.5	0.024105	0.018203	3.9699	0.022814	1.0002	0.045435
E6T56	5.6	0.024105	0.018203	3.9699	0.022814	1.0002	0.045435
E6T57	5.7	0.024105	0.018203	3.9699	0.022814	1.0002	0.045435
E6T58	5.8	0.024105	0.018203	3.9699	0.022814	1.0002	0.045435
E6T59	5.9	0.024105	0.018203	3.9699	0.022814	1.0002	0.045435
E6T60	6	0.024105	0.018203	3.9699	0.022814	1.0002	0.045435
E6T61	6.1	0.74708	0.042722	3.2469	0.053351	0.81765	0.040185
E6T62	6.2	1.3382	0.06649	2.6562	0.082947	0.66866	0.039289
E6T63	6.3	1.8215	0.080678	2.1735	0.10053	0.547	0.039275
E6T64	6.4	2.2169	0.087571	1.7789	0.10901	0.44763	0.038783
E6T65	6.5	2.5402	0.089294	1.4563	0.11104	0.36644	0.037532
E6T66	6.6	2.8048	0.087492	1.1925	0.10871	0.30007	0.035625
E6T67	6.7	3.0212	0.083392	0.97667	0.10354	0.2458	0.033258
E6T68	6.8	3.1984	0.077894	0.8001	0.096655	0.20142	0.030624
E6T69	6.9	3.3434	0.071646	0.6556	0.088859	0.1651	0.02788
E6T70	7	3.462	0.065105	0.53732	0.080718	0.13538	0.025145
E6T71	7.1	3.5592	0.058585	0.44048	0.072617	0.11104	0.022499
E6T72	7.2	3.6388	0.052295	0.36117	0.064814	0.091104	0.019999
E6T73	7.3	3.7039	0.046368	0.2962	0.057468	0.074772	0.017677
E6T74	7.4	3.7573	0.040878	0.24298	0.050672	0.061386	0.015549
E6T75	7.5	3.801	0.035863	0.19936	0.044466	0.050413	0.01362
E6T76	7.6	3.8369	0.031331	0.1636	0.03886	0.041413	0.011888
E6T77	7.7	3.8662	0.02727	0.13429	0.03384	0.03403	0.010342
E6T78	7.8	3.8903	0.023659	0.11026	0.029376	0.027972	0.01
E6T79	7.9	3.91	0.020467	0.09054	0.02543	0.022999	0.01
E6T80	8	3.9261	0.01766	0.074365	0.021961	0.018916	0.01
E6T81	8.1	3.9394	0.015204	0.061093	0.018923	0.015562	0.01
E6T82	8.2	3.9503	0.013062	0.0502	0.016274	0.012806	0.01
E6T83	8.3	3.9592	0.011201	0.041258	0.013971	0.010542	0.01
E6T84	8.4	3.9665	0.01	0.033915	0.011975	0.0086801	0.01
E6T85	8.5	3.9725	0.01	0.027885	0.01025	0.0071491	0.01
E6T86	8.6	3.9774	0.01	0.022932	0.01	0.0058898	0.01
E6T87	8.7	3.9815	0.01	0.018862	0.01	0.0048537	0.01
E6T88	8.8	3.9848	0.01	0.015518	0.01	0.0040009	0.01
E6T89	8.9	3.9875	0.01	0.012769	0.01	0.0032989	0.01
E6T90	9	3.9897	0.01	0.010509	0.01	0.0027207	0.01
E6T91	9.1	3.9916	0.01	0.0086508	0.01	0.0022445	0.01
E6T92	9.2	3.9931	0.01	0.0071226	0.01	0.0018521	0.01
E6T93	9.3	3.9943	0.01	0.0058655	0.01	0.0015288	0.01
E6T94	9.4	3.9953	0.01	0.0048312	0.01	0.0012622	0.01
E6T95	9.5	3.9961	0.01	0.00398	0.01	0.0010423	0.01
E6T96	9.6	3.9968	0.01	0.0032794	0.01	0.000861	0.01
E6T97	9.7	3.9974	0.01	0.0027027	0.01	0.00071139	0.01
E6T98	9.8	3.9979	0.01	0.0022278	0.01	0.00058793	0.01
E6T99	9.9	3.9982	0.01	0.0018366	0.01	0.00048602	0.01
E6T100	10	3.9985	0.01	0.0015145	0.01	0.00040187	0.01
