!!SBtab	SBtabVersion='1.0' Document='SBTAB example small' TableName='E7' TableTitle='SBTAB example small E7' TableType = 'QuantityMatrix'						
!ID	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2
E7T0	0	4	0.01	0	0.01	0	0.01
E7T1	0.1	4	0.01	0	0.01	0	0.01
E7T2	0.2	4	0.01	0	0.01	0	0.01
E7T3	0.3	4	0.01	0	0.01	0	0.01
E7T4	0.4	4	0.01	0	0.01	0	0.01
E7T5	0.5	4	0.01	0	0.01	0	0.01
E7T6	0.6	4	0.01	0	0.01	0	0.01
E7T7	0.7	4	0.01	0	0.01	0	0.01
E7T8	0.8	4	0.01	0	0.01	0	0.01
E7T9	0.9	4	0.01	0	0.01	0	0.01
E7T10	1	4	0.01	0	0.01	0	0.01
E7T11	1.1	1.6026	0.40966	2.4145	0.51649	0.61148	0.15979
E7T12	1.2	0.69292	0.30095	3.2933	0.38133	0.82446	0.12859
E7T13	1.3	0.31991	0.18533	3.6572	0.26345	0.91376	0.10648
E7T14	1.4	0.15932	0.11069	3.818	0.19982	0.95425	0.096953
E7T15	1.5	0.087618	0.069167	3.8923	0.17255	0.97358	0.093644
E7T16	1.6	0.054666	0.048857	3.9279	0.16257	0.98316	0.092659
E7T17	1.7	0.039152	0.04038	3.9453	0.15924	0.98805	0.092429
E7T18	1.8	0.031696	0.037312	3.9541	0.1582	0.99061	0.092413
E7T19	1.9	0.028047	0.036287	3.9586	0.15789	0.99197	0.092444
E7T20	2	0.026233	0.035953	3.961	0.15781	0.99272	0.092476
E7T21	2.1	0.025317	0.035845	3.9622	0.1578	0.99313	0.092499
E7T22	2.2	0.02485	0.03581	3.9629	0.1578	0.99335	0.092514
E7T23	2.3	0.024608	0.035798	3.9632	0.15781	0.99348	0.092523
E7T24	2.4	0.024481	0.035794	3.9634	0.15781	0.99356	0.092529
E7T25	2.5	0.024414	0.035793	3.9635	0.15782	0.9936	0.092532
E7T26	2.6	0.024379	0.035792	3.9636	0.15782	0.99363	0.092534
E7T27	2.7	0.02436	0.035792	3.9636	0.15782	0.99364	0.092536
E7T28	2.8	0.024349	0.035792	3.9637	0.15782	0.99365	0.092536
E7T29	2.9	0.024344	0.035792	3.9637	0.15782	0.99366	0.092537
E7T30	3	0.024341	0.035792	3.9637	0.15782	0.99366	0.092537
E7T31	3.1	0.024339	0.035792	3.9637	0.15782	0.99366	0.092537
E7T32	3.2	0.024338	0.035792	3.9637	0.15782	0.99366	0.092537
E7T33	3.3	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T34	3.4	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T35	3.5	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T36	3.6	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T37	3.7	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T38	3.8	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T39	3.9	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T40	4	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T41	4.1	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T42	4.2	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T43	4.3	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T44	4.4	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T45	4.5	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T46	4.6	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T47	4.7	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T48	4.8	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T49	4.9	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T50	5	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T51	5.1	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T52	5.2	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T53	5.3	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T54	5.4	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T55	5.5	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T56	5.6	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T57	5.7	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T58	5.8	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T59	5.9	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T60	6	0.024337	0.035792	3.9637	0.15782	0.99366	0.092537
E7T61	6.1	1.3476	0.13608	2.6373	0.20013	0.65852	0.081171
E7T62	6.2	2.2259	0.17674	1.7621	0.23209	0.43923	0.079152
E7T63	6.3	2.8105	0.17459	1.1819	0.2222	0.29467	0.071209
E7T64	6.4	3.2005	0.15418	0.79565	0.19344	0.19874	0.060218
E7T65	6.5	3.4615	0.12822	0.5375	0.15965	0.13469	0.048949
E7T66	6.6	3.6365	0.10276	0.36429	0.12749	0.091694	0.038778
E7T67	6.7	3.7541	0.080356	0.24768	0.099603	0.062686	0.030195
E7T68	6.8	3.8333	0.061763	0.16889	0.076651	0.043024	0.023232
E7T69	6.9	3.8868	0.046879	0.11549	0.058354	0.029639	0.017725
E7T70	7	3.9229	0.03525	0.079193	0.044076	0.02049	0.013442
E7T71	7.1	3.9474	0.026316	0.054444	0.033098	0.014212	0.010151
E7T72	7.2	3.9641	0.019538	0.037523	0.024747	0.0098884	0.01
E7T73	7.3	3.9754	0.014444	0.025923	0.018443	0.0069009	0.01
E7T74	7.4	3.9832	0.010642	0.017951	0.013712	0.0048299	0.01
E7T75	7.5	3.9884	0.01	0.012458	0.010177	0.0033896	0.01
E7T76	7.6	3.992	0.01	0.008665	0.01	0.0023851	0.01
E7T77	7.7	3.9945	0.01	0.0060393	0.01	0.0016825	0.01
E7T78	7.8	3.9962	0.01	0.0042177	0.01	0.0011898	0.01
E7T79	7.9	3.9974	0.01	0.0029514	0.01	0.00084328	0.01
E7T80	8	3.9982	0.01	0.0020692	0.01	0.00059905	0.01
E7T81	8.1	3.9987	0.01	0.0014533	0.01	0.00042647	0.01
E7T82	8.2	3.9991	0.01	0.0010226	0.01	0.00030425	0.01
E7T83	8.3	3.9994	0.01	0.00072081	0.01	0.00021749	0.01
E7T84	8.4	3.9996	0.01	0.00050894	0.01	0.00015578	0.01
E7T85	8.5	3.9997	0.01	0.00035994	0.01	0.00011179	0.01
E7T86	8.6	3.9998	0.01	0.00025497	0.01	8.037e-05	0.01
E7T87	8.7	3.9999	0.01	0.00018089	0.01	5.7883e-05	0.01
E7T88	8.8	3.9999	0.01	0.00012854	0.01	4.1761e-05	0.01
E7T89	8.9	3.9999	0.01	9.147e-05	0.01	3.018e-05	0.01
E7T90	9	4	0.01	6.5187e-05	0.01	2.1846e-05	0.01
E7T91	9.1	4	0.01	4.6522e-05	0.01	1.5838e-05	0.01
E7T92	9.2	4	0.01	3.3248e-05	0.01	1.1501e-05	0.01
E7T93	9.3	4	0.01	2.3793e-05	0.01	8.3638e-06	0.01
E7T94	9.4	4	0.01	1.705e-05	0.01	6.0913e-06	0.01
E7T95	9.5	4	0.01	1.2234e-05	0.01	4.4426e-06	0.01
E7T96	9.6	4	0.01	8.7892e-06	0.01	3.2447e-06	0.01
E7T97	9.7	4	0.01	6.3223e-06	0.01	2.373e-06	0.01
E7T98	9.8	4	0.01	4.5534e-06	0.01	1.7378e-06	0.01
E7T99	9.9	4	0.01	3.2833e-06	0.01	1.2743e-06	0.01
E7T100	10	4	0.01	2.3703e-06	0.01	9.3562e-07	0.01
