!!SBtab	SBtabVersion='1.0' TableType='QuantityMatrix' TableName='E0' 'TableTitle='' Document='Example'						
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2
E0T0	0	0	0.01	0	0.01	0	0.01
E0T1	61	0.004955	0.01	0.031232	0.01	0.0018563	0.01
E0T2	121	0.004034	0.01	0.093444	0.01	0.0033416	0.01
E0T3	301	0.0063674	0.01	0.23689	0.01	0.012632	0.01
E0T4	601	0.010859	0.01	0.14973	0.01	0.078914	0.02
E0T5	901	0.0071353	0.01	0.093097	0.01	0.25521	0.02
E0T6	1801	0.0037103	0.01	0.065764	0.01	0.44745	0.035
E0T7	3601	0.0067693	0.01	0.045765	0.01	0.29547	0.035
