!!SBtab	SBtabVersion='1.0' TableType='QuantityMatrix' TableName='E17' 'TableTitle='' Document='Example'						
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2
E0T0	0	0	0.1	0	0.1	0	0.1
E0T1	61	0.95878	0.1	1.0118	0.1	0.0044825	0.1
E0T2	121	0.3863	0.1	0.91218	0.1	0.030478	0.1
E0T3	301	0.035431	0.1	0.28528	0.1	0.19031	0.1
E0T4	601	0.013402	0.1	0.075662	0.1	0.43007	0.1
E0T5	901	0.013201	0.1	0.072367	0.1	0.55116	0.1
E0T6	1801	0.0132	0.1	0.072048	0.1	0.58741	0.1
E0T7	3601	0.0132	0.1	0.071916	0.1	0.4504	0.1
