!!SBtab	SBtabVersion='1.0' TableType='QuantityMatrix' TableName='E9' 'TableTitle='' Document='Example'						
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2
E0T0	0	0	0.1	0	0.1	0	0.1
E0T1	61	0.28868	0.1	0.57752	0.1	0.0012914	0.1
E0T2	121	0.30243	0.1	0.82007	0.1	0.013824	0.1
E0T3	301	0.057157	0.1	0.57234	0.1	0.13615	0.1
E0T4	601	0.0021515	0.1	0.19045	0.1	0.43223	0.1
E0T5	901	0.00023311	0.1	0.12611	0.1	0.65828	0.1
E0T6	1801	0.00016513	0.1	0.088392	0.1	0.89364	0.1
E0T7	3601	0.00016512	0.1	0.046557	0.1	0.66589	0.1
