!!SBtab	SBtabVersion='1.0' TableType='QuantityMatrix' TableName='E3' 'TableTitle='' Document='Example'						
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2
E0T0	0	0	0.01	0	0.01	0	0.01
E0T1	61	0.48781	0.15	0.71187	0.05	0.0057189	0.01
E0T2	121	0.28974	0.12	0.89633	0.05	0.013126	0.01
E0T3	301	0.24074	0.15	0.49719	0.02	0.062408	0.01
E0T4	601	0.13851	0.065	0.2397	0.03	0.41154	0.01
E0T5	901	0.11025	0.03	0.18333	0.02	0.71428	0.035
E0T6	1801	0.047644	0.02	0.089574	0.02	0.92784	0.08
E0T7	3601	0.017833	0.01	0.037055	0.02	0.55064	0.08
