!!SBtab	SBtabVersion='1.0' TableType='QuantityMatrix' TableName='E2' 'TableTitle='' Document='Example'						
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2
E0T0	0	0	0.01	0	0.01	0	0.01
E0T1	61	0.12816	0.05	0.38989	0.1	0.0020839	0.01
E0T2	121	0.13179	0.025	0.82306	0.07	0.0047955	0.01
E0T3	301	0.12123	0.065	0.49708	0.03	0.047495	0.01
E0T4	601	0.09165	0.025	0.2549	0.03	0.39197	0.01
E0T5	901	0.11645	0.02	0.19377	0.03	0.68142	0.025
E0T6	1801	0.049997	0.01	0.12942	0.02	1.0001	0.07
E0T7	3601	0.017926	0.01	0.061242	0.01	0.75108	0.075
