!!SBtab	SBtabVersion='1.0' TableType='QuantityMatrix' TableName='E8' 'TableTitle='' Document='Example'						
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2
E0T0	0	0	0.1	0	0.1	0	0.1
E0T1	61	0.11481	0.1	0.28556	0.1	0.00052448	0.1
E0T2	121	0.15272	0.1	0.58719	0.1	0.0071439	0.1
E0T3	301	0.078173	0.1	0.5698	0.1	0.094911	0.1
E0T4	601	0.018453	0.1	0.32554	0.1	0.36794	0.1
E0T5	901	0.0044166	0.1	0.19623	0.1	0.63635	0.1
E0T6	1801	0.00018666	0.1	0.10636	0.1	0.99992	0.1
E0T7	3601	0.00013186	0.1	0.054745	0.1	0.78375	0.1
