!!SBtab	SBtabVersion='1.0' TableType='QuantityMatrix' TableName='E5' 'TableTitle='' Document='Example'						
!TimePoint	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2
E0T0	0	0	0.01	0	0.01	0	0.01
E0T1	61	0.95674	0.1	0.99726	0.05	0.0086144	0.01
E0T2	121	0.26888	0.1	0.8819	0.02	0.013062	0.01
E0T3	301	0.34087	0.2	0.27373	0.02	0.07993	0.01
E0T4	601	0.10018	0.05	0.11182	0.02	0.42868	0.02
E0T5	901	0.097799	0.02	0.073731	0.02	0.60508	0.03
E0T6	1801	0.025369	0.01	0.053436	0.02	0.62088	0.035
E0T7	3601	0.0081957	0.01	0.038275	0.01	0.32084	0.07
