!!SBtab	SBtabVersion='1.0' Document='Example' TableName='E0' TableTitle='E0' TableType = 'QuantityMatrix'								
!ID	!Time	>Y0	SD_Y0	>Y1	SD_Y1	>Y2	SD_Y2	>Y3	SD_Y3
E0T0	0	4	0.01	0	0.01	2	0.01	0	0.01
E0T1	0.1	4	0.01	0	0.01	2	0.01	0	0.01
E0T2	0.2	4	0.01	0	0.01	2	0.01	0	0.01
E0T3	0.3	4	0.01	0	0.01	2	0.01	0	0.01
E0T4	0.4	4	0.01	0	0.01	2	0.01	0	0.01
E0T5	0.5	4	0.01	0	0.01	2	0.01	0	0.01
E0T6	0.6	4	0.01	0	0.01	2	0.01	0	0.01
E0T7	0.7	4	0.01	0	0.01	2	0.01	0	0.01
E0T8	0.8	4	0.01	0	0.01	2	0.01	0	0.01
E0T9	0.9	4	0.01	0	0.01	2	0.01	0	0.01
E0T10	1	4	0.01	0	0.01	2	0.01	0	0.01
E0T11	1.1	3.5765	0.37622	0.37115	0.41431	1.9046	0.15792	0.096633	0.17135
E0T12	1.2	2.9833	0.40297	0.94068	0.48923	1.6423	0.24859	0.33317	0.27897
E0T13	1.3	2.6069	0.32718	1.338	0.40665	1.3985	0.22267	0.56972	0.27192
E0T14	1.4	2.3849	0.26504	1.5744	0.33104	1.2476	0.1877	0.72772	0.23583
E0T15	1.5	2.2495	0.22065	1.7185	0.27969	1.1581	0.16825	0.82299	0.21373
E0T16	1.6	2.1645	0.1909	1.8097	0.2465	1.1031	0.15797	0.88209	0.20308
E0T17	1.7	2.1099	0.17229	1.8691	0.22599	1.0683	0.15288	0.92002	0.19827
E0T18	1.8	2.0743	0.16133	1.9085	0.21389	1.0459	0.15059	0.94496	0.19637
E0T19	1.9	2.0506	0.1552	1.9352	0.20701	1.0312	0.14973	0.96167	0.19585
E0T20	2	2.0348	0.15191	1.9535	0.20322	1.0214	0.14953	0.97303	0.19594
E0T21	2.1	2.0241	0.15023	1.9662	0.2012	1.0149	0.14963	0.98084	0.19625
E0T22	2.2	2.0167	0.14941	1.9751	0.20016	1.0104	0.14982	0.98629	0.19662
E0T23	2.3	2.0116	0.14904	1.9813	0.19966	1.0074	0.15002	0.99011	0.19696
E0T24	2.4	2.0081	0.1489	1.9858	0.19943	1.0053	0.15021	0.99281	0.19725
E0T25	2.5	2.0057	0.14886	1.989	0.19936	1.0038	0.15036	0.99474	0.19749
E0T26	2.6	2.0039	0.14888	1.9913	0.19935	1.0028	0.15048	0.99613	0.19768
E0T27	2.7	2.0027	0.14892	1.993	0.19937	1.0021	0.15058	0.99714	0.19782
E0T28	2.8	2.0018	0.14896	1.9942	0.1994	1.0016	0.15065	0.99786	0.19793
E0T29	2.9	2.0012	0.14899	1.9951	0.19944	1.0012	0.1507	0.9984	0.19802
E0T30	3	2.0008	0.14902	1.9958	0.19947	1.0009	0.15074	0.99879	0.19808
E0T31	3.1	2.0004	0.14905	1.9963	0.1995	1.0008	0.15077	0.99908	0.19813
E0T32	3.2	2.0002	0.14907	1.9966	0.19952	1.0006	0.1508	0.99929	0.19816
E0T33	3.3	2	0.14908	1.9969	0.19954	1.0005	0.15081	0.99945	0.19819
E0T34	3.4	1.9999	0.14909	1.9971	0.19955	1.0005	0.15083	0.99957	0.19821
E0T35	3.5	1.9998	0.1491	1.9973	0.19956	1.0004	0.15084	0.99966	0.19823
E0T36	3.6	1.9997	0.14911	1.9974	0.19957	1.0004	0.15084	0.99972	0.19824
E0T37	3.7	1.9997	0.14911	1.9975	0.19958	1.0003	0.15085	0.99977	0.19825
E0T38	3.8	1.9997	0.14912	1.9975	0.19958	1.0003	0.15085	0.99981	0.19825
E0T39	3.9	1.9996	0.14912	1.9976	0.19959	1.0003	0.15086	0.99984	0.19826
E0T40	4	1.9996	0.14912	1.9976	0.19959	1.0003	0.15086	0.99986	0.19826
E0T41	4.1	1.9996	0.14913	1.9976	0.19959	1.0003	0.15086	0.99988	0.19827
E0T42	4.2	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99989	0.19827
E0T43	4.3	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.9999	0.19827
E0T44	4.4	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99991	0.19827
E0T45	4.5	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99992	0.19827
E0T46	4.6	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99992	0.19827
E0T47	4.7	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99992	0.19827
E0T48	4.8	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99993	0.19827
E0T49	4.9	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99993	0.19827
E0T50	5	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99993	0.19827
E0T51	5.1	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99993	0.19827
E0T52	5.2	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99993	0.19827
E0T53	5.3	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99993	0.19827
E0T54	5.4	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99993	0.19827
E0T55	5.5	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99993	0.19827
E0T56	5.6	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99993	0.19827
E0T57	5.7	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99993	0.19827
E0T58	5.8	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99993	0.19827
E0T59	5.9	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99994	0.19827
E0T60	6	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99994	0.19827
E0T61	6.1	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99994	0.19827
E0T62	6.2	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99994	0.19827
E0T63	6.3	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99994	0.19827
E0T64	6.4	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99994	0.19827
E0T65	6.5	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99994	0.19827
E0T66	6.6	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99994	0.19827
E0T67	6.7	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99994	0.19827
E0T68	6.8	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99994	0.19827
E0T69	6.9	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99994	0.19827
E0T70	7	1.9996	0.14913	1.9977	0.1996	1.0003	0.15086	0.99994	0.19827
E0T71	7.1	2.212	0.21289	1.8211	0.25503	1.0465	0.1597	0.95386	0.20454
E0T72	7.2	2.5846	0.23688	1.4668	0.30114	1.1934	0.18006	0.81817	0.21979
E0T73	7.3	2.9021	0.21525	1.1402	0.28302	1.3661	0.16361	0.64992	0.20636
E0T74	7.4	3.1469	0.19521	0.88552	0.25502	1.508	0.13826	0.50468	0.17696
E0T75	7.5	3.3352	0.17621	0.69033	0.22715	1.6175	0.11774	0.39218	0.15007
E0T76	7.6	3.4806	0.15726	0.54031	0.2008	1.7017	0.10094	0.30598	0.12776
E0T77	7.7	3.5933	0.13874	0.42441	0.17603	1.7669	0.08658	0.23963	0.10897
E0T78	7.8	3.6807	0.12116	0.33447	0.15316	1.8173	0.0741	0.18831	0.092898
E0T79	7.9	3.7489	0.10493	0.26438	0.13244	1.8566	0.063221	0.14845	0.079074
E0T80	8	3.8021	0.090268	0.20956	0.11396	1.8871	0.053763	0.11737	0.067191
E0T81	8.1	3.8437	0.07723	0.16653	0.097674	1.911	0.045581	0.093045	0.057001
E0T82	8.2	3.8764	0.065785	0.13267	0.083455	1.9297	0.038541	0.073946	0.048288
E0T83	8.3	3.902	0.055838	0.10593	0.071134	1.9444	0.032512	0.058907	0.040858
E0T84	8.4	3.9222	0.04726	0.084765	0.060519	1.9559	0.027372	0.04703	0.03454
E0T85	8.5	3.9382	0.039907	0.067968	0.051412	1.965	0.023008	0.037627	0.029178
E0T86	8.6	3.9508	0.033636	0.054605	0.043628	1.9721	0.019313	0.030165	0.024635
E0T87	8.7	3.9607	0.028307	0.043951	0.036993	1.9778	0.016194	0.024228	0.020793
E0T88	8.8	3.9686	0.023795	0.035439	0.031347	1.9823	0.013567	0.019495	0.017546
